cumulative,month,rate,year
1.4131,JAN,0.4131,1994
1.9822,FEV,0.4027,1994
2.8296,MAR,0.4275,1994
4.0373,ABR,0.4268,1994
5.8149,MAI,0.4403,1994
8.5729,JUN,0.4743,1994
9.1593,JUL,0.0684,1994
9.3297,AGO,0.0186,1994
9.4724,SET,0.0153,1994
9.7206,OUT,0.0262,1994
9.9937,NOV,0.0281,1994
10.1646,DEZ,0.0171,1994
10.3374,JAN,0.017,1995
10.4428,FEV,0.0102,1995
10.6047,MAR,0.0155,1995
10.8624,ABR,0.0243,1995
11.1524,MAI,0.0267,1995
11.4044,JUN,0.0226,1995
11.6735,JUL,0.0236,1995
11.7891,AGO,0.0099,1995
11.9058,SET,0.0099,1995
12.0737,OUT,0.0141,1995
12.2512,NOV,0.0147,1995
12.4423,DEZ,0.0156,1995
12.609,JAN,0.0134,1996
12.7389,FEV,0.0103,1996
12.7835,MAR,0.0035,1996
12.9446,ABR,0.0126,1996
13.1025,MAI,0.0122,1996
13.2584,JUN,0.0119,1996
13.4056,JUL,0.0111,1996
13.4646,AGO,0.0044,1996
13.4848,SET,0.0015,1996
13.5253,OUT,0.003,1996
13.5686,NOV,0.0032,1996
13.6324,DEZ,0.0047,1996
13.7933,JAN,0.0118,1997
13.8623,FEV,0.005,1997
13.933,MAR,0.0051,1997
14.0556,ABR,0.0088,1997
14.1132,MAI,0.0041,1997
14.1894,JUN,0.0054,1997
14.2206,JUL,0.0022,1997
14.2178,AGO,-0.0002,1997
14.2263,SET,0.0006,1997
14.259,OUT,0.0023,1997
14.2832,NOV,0.0017,1997
14.3446,DEZ,0.0043,1997
14.4464,JAN,0.0071,1998
14.5129,FEV,0.0046,1998
14.5622,MAR,0.0034,1998
14.5971,ABR,0.0024,1998
14.6701,MAI,0.005,1998
14.673,JUN,0.0002,1998
14.6554,JUL,-0.0012,1998
14.5807,AGO,-0.0051,1998
14.5486,SET,-0.0022,1998
14.5515,OUT,0.0002,1998
14.534,NOV,-0.0012,1998
