Data Inicial;Data Final;Ano Execução;Exercício;Administração;Código Órgão;Sigla Órgão;Orgão;Código Unidade;Unidade;Código Função;Função;Código SubFunção;SubFunção;Código Programa;Programa;PA;PAPA;Código Projeto Atividade;Projeto Atividade;Código Despesa;Despesa;Código Categoria Despesa;Categoria Despesa;Código Grupo Despesa;Grupo Despesa;Código Modalidade;Modalidade;Código Elemento;Código Fonte;Fonte; ORÇADO ; ATUALIZADO ; EMPENHADO ; LIQUIDADO ; JAN Suplementado ; JAN Empenhado ; JAN Liquidado ; FEV Suplementado ; FEV Empenhado ; FEV Liquidado ; MAR Suplementado ; MAR Empenhado ; MAR Liquidado ; ABR Suplementado ; ABR Empenhado ; ABR Liquidado ; MAI Suplementado ; MAI Empenhado ; MAI Liquidado ; JUN Suplementado ; JUN Empenhado ; JUN Liquidado ; JUL Suplementado ; JUL Empenhado ; JUL Liquidado ; AGO Suplementado ; AGO Empenhado ; AGO Liquidado ; SET Suplementado ; SET Empenhado ; SET Liquidado ; OUT Suplementado ; OUT Empenhado ; OUT Liquidado ; NOV Suplementado ; NOV Empenhado ; NOV Liquidado ; DEZ Suplementado ; DEZ Empenhado ; DEZ Liquidado 
2015-01-01 00:00:00.000;2015-12-31 23:59:59.000;2015;2015;Indireta;01;AHM       ;Autarquia Hospitalar Municipal;10;Autarquia Hospitalar Municipal;10;Saúde;302;Assistência Hospitalar e Ambulatorial;3003;Ações e serviços da saúde;Projetos;Projetos;1387;Hospital Municipal Professor Doutor Alípio Correa Netto - CNPJ: 46.392.148/0026-78. Aquisição de Equipamentos                                         ;44905200;Equipamentos e Material Permanente;4;Despesas de Capital;4;INVESTIMENTOS;90;Aplicações Diretas;52;00;Tesouro Municipal; 50.000,00 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;-50.000,00 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
2015-01-01 00:00:00.000;2015-12-31 23:59:59.000;2015;2015;Indireta;01;AHM       ;Autarquia Hospitalar Municipal;10;Autarquia Hospitalar Municipal;10;Saúde;302;Assistência Hospitalar e Ambulatorial;3003;Ações e serviços da saúde;Projetos;Projetos;1382;Hospital Municipal do Campo Limpo Dr. Fernando Mauro Pires Rocha - Instalação de Sistema de Ar Condicionado na UTI                                    ;44903900;Outros Serviços de Terceiros - Pessoa Jurídica;4;Despesas de Capital;4;INVESTIMENTOS;90;Aplicações Diretas;39;00;Tesouro Municipal; 500.000,00 ; 500.000,00 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
2015-01-01 00:00:00.000;2015-12-31 23:59:59.000;2015;2015;Indireta;01;AHM       ;Autarquia Hospitalar Municipal;10;Autarquia Hospitalar Municipal;10;Saúde;302;Assistência Hospitalar e Ambulatorial;3003;Ações e serviços da saúde;Atividades;Atividades;4103;Operação e Manutenção das Unidades Hospitalares, Pronto Socorros e Pronto Atendimento                                                                 ;33904800;Outros Auxílios Financeiros a Pessoas Físicas;3;Despesas Correntes;3;OUTRAS DESPESAS CORRENTES;90;Aplicações Diretas;48;00;Tesouro Municipal; 80.000,00 ; 65.000,00 ; 64.239,00 ; 64.239,00 ; -   ; 1.709,00 ; 1.709,00 ; -   ; 11.230,00 ; 5.405,00 ; -   ; 6.125,00 ; 6.125,00 ; -   ; 6.425,00 ; 12.250,00 ; -   ; 3.425,00 ; -   ; -   ; 7.400,00 ; 6.125,00 ; -   ; 4.625,00 ; 5.200,00 ; -   ; -   ; 4.125,00 ; -   ; 10.550,00 ; 6.125,00 ; -   ; 6.125,00 ; 6.125,00 ; -   ; 6.125,00 ; 4.925,00 ;-15.000,00 ; 500,00 ; 6.125,00 
2015-01-01 00:00:00.000;2015-12-31 23:59:59.000;2015;2015;Indireta;01;AHM       ;Autarquia Hospitalar Municipal;10;Autarquia Hospitalar Municipal;10;Saúde;122;Administração Geral;3024;Suporte Administrativo;Atividades;Pessoal;2100;Administração da Unidade                                                                                                                              ;31901300;Obrigações Patronais;3;Despesas Correntes;1;PESSOAL E ENCARGOS SOCIAIS;90;Aplicações Diretas;13;00;Tesouro Municipal; 89.047.746,00 ; 17.500.000,00 ; 15.800.000,00 ; 15.794.367,82 ; -   ; 44.000.000,00 ; 796.955,14 ; -   ;-31.000.000,00 ; 4.094.846,11 ;-76.047.746,00 ; -   ; 934.571,39 ; -   ; -   ; 875.248,61 ; -   ; -   ; 904.382,88 ; -   ; -   ; 915.168,21 ; -   ; -   ; 1.047.936,26 ; 4.500.000,00 ; 4.500.000,00 ; 1.061.757,74 ; -   ; -   ; 1.091.199,14 ; -   ; -   ; 1.123.666,67 ; -   ; -   ; 1.118.858,43 ; -   ;-1.700.000,00 ; 1.829.777,24 
2015-01-01 00:00:00.000;2015-12-31 23:59:59.000;2015;2015;Indireta;01;AHM       ;Autarquia Hospitalar Municipal;10;Autarquia Hospitalar Municipal;10;Saúde;302;Assistência Hospitalar e Ambulatorial;3003;Ações e serviços da saúde;Atividades;Atividades;4103;Operação e Manutenção das Unidades Hospitalares, Pronto Socorros e Pronto Atendimento                                                                 ;33909200;Despesas de Exercícios Anteriores;3;Despesas Correntes;3;OUTRAS DESPESAS CORRENTES;90;Aplicações Diretas;92;02;Transferências Federais; -   ; 1.423.901,09 ; 1.423.901,09 ; 1.423.901,09 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 117.036,16 ; 117.036,16 ; 117.036,16 ; 216.480,24 ; 216.480,24 ; 216.480,24 ; -   ; -   ; -   ; -   ; -   ; -   ; 1.090.384,69 ; 1.090.384,69 ; -   ; -   ; -   ; 1.090.384,69 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
2015-01-01 00:00:00.000;2015-12-31 23:59:59.000;2015;2015;Indireta;01;AHM       ;Autarquia Hospitalar Municipal;10;Autarquia Hospitalar Municipal;10;Saúde;302;Assistência Hospitalar e Ambulatorial;3003;Ações e serviços da saúde;Projetos;Projetos;3376;Reforma, Recuperação e Adequação do Hospital Municipal Prof. Waldomiro de Paula                                                                       ;44905100;Obras e Instalações;4;Despesas de Capital;4;INVESTIMENTOS;90;Aplicações Diretas;51;00;Tesouro Municipal; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 400.000,00 ; -   ; -   ;-400.000,00 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
2015-01-01 00:00:00.000;2015-12-31 23:59:59.000;2015;2015;Indireta;01;AHM       ;Autarquia Hospitalar Municipal;10;Autarquia Hospitalar Municipal;10;Saúde;122;Administração Geral;3024;Suporte Administrativo;Atividades;Atividades;2100;Administração da Unidade                                                                                                                              ;44905200;Equipamentos e Material Permanente;4;Despesas de Capital;4;INVESTIMENTOS;90;Aplicações Diretas;52;06;Recursos Próprios da Administração Indireta; 262.800,00 ; 10.000,00 ; 6.593,46 ; 6.593,46 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;-202.800,00 ; 6.593,46 ; -   ; -   ; -   ; -   ; -   ; -   ; 6.593,46 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;-50.000,00 ; -   ; -   
2015-01-01 00:00:00.000;2015-12-31 23:59:59.000;2015;2015;Indireta;01;AHM       ;Autarquia Hospitalar Municipal;10;Autarquia Hospitalar Municipal;10;Saúde;302;Assistência Hospitalar e Ambulatorial;3003;Ações e serviços da saúde;Atividades;Atividades;4103;Operação e Manutenção das Unidades Hospitalares, Pronto Socorros e Pronto Atendimento                                                                 ;33509200;Despesas de Exercícios Anteriores;3;Despesas Correntes;3;OUTRAS DESPESAS CORRENTES;50;Transferências a Instituições Privadas sem fins Lucrativos;92;00;Tesouro Municipal; -   ; 6.736.522,56 ; 6.736.522,56 ; 6.736.522,56 ; -   ; -   ; -   ; -   ; -   ; -   ; 6.736.522,56 ; 6.736.522,56 ; 6.736.522,56 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
2015-01-01 00:00:00.000;2015-12-31 23:59:59.000;2015;2015;Indireta;01;AHM       ;Autarquia Hospitalar Municipal;10;Autarquia Hospitalar Municipal;10;Saúde;122;Administração Geral;3024;Suporte Administrativo;Atividades;Pessoal;2100;Administração da Unidade                                                                                                                              ;31909100;Sentenças Judiciais;3;Despesas Correntes;1;PESSOAL E ENCARGOS SOCIAIS;90;Aplicações Diretas;91;00;Tesouro Municipal; 1.000.000,00 ; 1.000.000,00 ; 320.000,00 ; 296.597,07 ; -   ; 813.098,00 ; 43.476,11 ; -   ; -   ; 38.938,96 ; -   ; -   ; 57.624,09 ; -   ; -   ; 20.140,06 ; -   ; -   ; 9.384,52 ; -   ; -   ; 9.171,72 ; -   ; 198,21 ; 16.087,45 ; -   ; -   ; 41.963,35 ; -   ;-213.296,21 ; 8.670,25 ; -   ; -   ; 11.748,68 ; -   ; -   ; 19.977,40 ; -   ;-280.000,00 ; 19.414,48 
2015-01-01 00:00:00.000;2015-12-31 23:59:59.000;2015;2015;Indireta;01;AHM       ;Autarquia Hospitalar Municipal;10;Autarquia Hospitalar Municipal;10;Saúde;302;Assistência Hospitalar e Ambulatorial;3003;Ações e serviços da saúde;Atividades;Atividades;4103;Operação e Manutenção das Unidades Hospitalares, Pronto Socorros e Pronto Atendimento                                                                 ;44905200;Equipamentos e Material Permanente;4;Despesas de Capital;4;INVESTIMENTOS;90;Aplicações Diretas;52;06;Recursos Próprios da Administração Indireta; 591.400,00 ; 789.332,89 ; 284.149,22 ; 83.995,22 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 62.661,57 ; -   ;-4.867,11 ; 6.000,00 ; -   ; -   ; 10.863,65 ; 5.363,65 ; 202.800,00 ; 4.470,00 ; 74.161,57 ; -   ; -   ; 4.470,00 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 200.154,00 ; -   
