ID,LONG,LAT,SETCENS,AREAP,CODDIST,DISTRITO,CODSUBPREF,SUBPREF,REGIAO5,REGIAO8,NOME,ESPACO,ENDERECO,TELEFONE,BAIRRO,CEP,CT_TIPO,CT_DEPADM,INAUGURACAO,ASSENTOS
1,-46572456,-23552253,355030801000118,3550308005039,01,AGUA RASA,25,MOOCA,Leste,Leste 1,Paulo Sérgio Milliet,,Pça. Ituzaingó s/nº,6671-4974,Moóca,03077-10,1,1,,
2,-46700515,-23557682,355030802000060,3550308005106,02,ALTO DE PINHEIROS,11,PINHEIROS,Oeste,Oeste,Álvaro Guerra,,"R. Pedroso de Morais, 1.919",3031-7784,Pinheiros,,1,1,,
3,-46484430,-23546304,355030805000081,3550308005148,05,ARTUR ALVIM,21,PENHA,Leste,Leste 1,Jovina Rocha Álvares Pessoa,,"Av. Padre Francisco de Toledo, 331 - Cohab I",6741-7371,Itaquera,,1,1,,
4,-46737742,-23575414,355030812000019,3550308005180,12,BUTANTA,10,BUTANTA,Oeste,Oeste,Camila Cerqueira César,,"R. Waldemar Sanches, 41",3731-5210,Butantã,05537-07,1,1,,
5,-46756720,-23617836,355030817000135,3550308005234,17,CAMPO LIMPO,17,CAMPO LIMPO,Sul,Sul 2,Marcos Rey  (antigo Campo Limpo),,"Av. Anacê, 92",5845-2572,Jd. Umarizal,,1,1,,
6,-46533492,-23546748,355030820000011,3550308005078,20,CARRAO,26,ARICANDUVA,Leste,Leste 1,Lenyra Fraccaroli,,"Pça. Haroldo Daltro, 451",295-2295,Vila Manchester,,1,1,,
7,-46648948,-23544333,355030826000098,3550308005012,26,CONSOLACAO,9,SE,Centro,Centro,Monteiro Lobato,,"R. General Jardim, 485",3256-4122,Vila Buarque,,1,1,,
8,-46700520,-23486018,355030829000012,3550308005116,29,FREGUESIA DO O,3,FREGUESIA-BRASILANDIA,Norte,Norte 1,Thales Castanho de Andrade,,"R. Arthur Fajardo, 447",3975-7439,Freg. do Ë,02925-04,1,1,,
9,-46409170,-23544924,355030831000036,3550308005264,31,GUAIANASES,28,GUAIANAZES,Leste,Leste 2,Cora Coralina,,"R. Otelo A. Ribeiro, 113",6557-8004,Guaianases,,1,1,,
10,-46683738,-23586442,355030835000059,3550308005050,34,ITAIM BIBI,11,PINHEIROS,Oeste,Oeste,Anne Frank,,"R. Cojuba, 45",3078-6352,Itaim,,1,1,,
11,-46644849,-23650860,355030838000025,3550308005095,37,JABAQUARA,15,JABAQUARA,Sul,Sul 1,Centro Cultural Jabaquara(Jacob Salvador Zveibil),Dr. Joaquim José de Carvalho,"Rua Arsênio Tavolieri, 45",5011-8819,Jabaquara,,1,1,,
12,-46564291,-23476408,355030839000101,3550308005070,38,JACANA,6,JACANA-TREMEMBE,Norte,Norte 2,José Mauro de Vasconcelos,,"Pça. Cmte. Eduardo Oliveira, s/n",6242-8196,Parque Edu Chaves,02126-00,1,1,,
13,-46712270,-23441676,355030842000289,3550308005188,41,JARAGUA,2,PIRITUBA,Norte,Norte 1,Érico Veríssimo,,"Rua Diógenes Dourado, 101",3972-0450,Parada Taipas,,1,1,,
14,-46434958,-23553479,355030847000033,3550308005262,46,JOSE BONIFACIO,27,ITAQUERA,Leste,Leste 2,Vinícius de Morais,,"R. Jardim Tamoio, 1.119 - Itaquera II",6521-6914,Itaquera,08253-58,1,1,,
15,-46709740,-23530132,355030848000023,3550308005059,48,LAPA,8,LAPA,Oeste,Oeste,Cecília Meireles,,"R. Araçatuba, 522",3834-0004,V. Romana,05419-00,1,1,,
16,-46701146,-23535156,355030848000044,3550308005059,48,LAPA,8,LAPA,Oeste,Oeste,Clarice Lispector,,"R. Jaricunas, 458",3672-1423,Vila Ipojuca,05058-01,1,1,,
17,-46639659,-23569642,355030849000103,3550308005008,49,LIBERDADE,9,SE,Centro,Centro,Gibiteca Municipal Henfil,,"Rua Vergueiro, 1.000",3277-3611 r. 247,Paraíso,,1,1,,
18,-46629106,-23572325,355030849000008,3550308005007,49,LIBERDADE,9,SE,Centro,Centro,Ophélia França,,"R. Muniz de Souza, 1.155",3208-1895,Aclimação,,1,1,,
19,-46672511,-23496869,355030850000006,3550308005060,50,LIMAO,4,CASA VERDE-CACHOEIRINHA,Norte,Norte 1,Menotti Del Picchia,,"R. São Romualdo, 382",3966-4814,Limão,,1,1,,
20,-46610957,-23526216,355030856000009,3550308005015,57,PARI,25,MOOCA,Leste,Leste 1,Adelpha Figueiredo,,"Pça. Ilo Otani, 146",292-3439,Canindé,,1,1,,
21,-46548367,-23525329,355030859000118,3550308005071,60,PENHA,21,PENHA,Leste,Leste 1,Senhora Leandro Dupré,,"R. Dr. João A. Ribeiro, s/n",295-9624,Penha,03634-02,1,1,,
22,-46754577,-23406650,355030861000010,3550308005243,62,PERUS,1,PERUS,Norte,Norte 1,Padre José de Anchieta,,"R. Antônio Maia, 651",3917-0751,Perus,,1,1,,
23,-46740634,-23484700,355030895000104,3550308005110,73,SAO DOMINGOS,2,PIRITUBA,Norte,Norte 1,Orígenes Lessa,,"Av. Mutinga, 1.425",3904-2476,Pirituba,,1,1,,
24,-46590440,-23630354,355030868000017,3550308005087,69,SACOMA,13,IPIRANGA,Sul,Sul 1,Castro Alves,,"R. Abrahão Mussa, s/n",6946-4562,Jd. Patente,,1,1,,
25,-46626707,-23496576,355030870000015,3550308005063,71,SANTANA,5,SANTANA-TUCURUVI,Norte,Norte 2,Narbal Fontes,,"Av. Cons. Moreira de Barros, 170",6973-4461,Santana,,1,1,,
26,-46707914,-23650236,355030871000031,3550308005173,72,SANTO AMARO,14,SANTO AMARO,Sul,Sul 2,Benedito Bastos Barreto,,"Rua Paulo Eiró, 525",5687-0408,Santo Amaro,04751-03,1,1,,
27,-46710670,-23688582,355030879000024,3550308005220,81,SOCORRO,19,CAPELA DO SOCORRO,Sul,Sul 2,Malba Tahan,,"R. Brás Pires Meira, 100",5523-4556,Veleiros,,1,1,,
28,-46580357,-23539338,355030880000121,3550308005036,82,TATUAPE,25,MOOCA,Leste,Leste 1,Prof. Arnaldo Magalhães Giácomo,,"R. Restinga, 136",295-0785,Tatuapé,,1,1,,
29,-46571892,-23535604,355030880000021,3550308005036,82,TATUAPE,25,MOOCA,Leste,Leste 1,Hans Christian Andersen,,"Av. Celso Garcia, 4.142",295-3447,Tatuapé,,1,1,,
30,-46604112,-23481017,355030882000005,3550308005066,84,TUCURUVI,5,SANTANA-TUCURUVI,Norte,Norte 2,Sylvia Orthof (antigo Tucuruvi),,"Av. Tucuruvi, 808",6981-6264,Tucuruvi,02304-00,1,1,,
31,-46420291,-23501443,355030884000193,3550308005253,86,VILA CURUCA,24,ITAIM PAULISTA,Leste,Leste 2,Vicente Paulo Guimarães,,"R. Jaguar, 225",6135-5322,Vila Curuçá,08032-01,1,1,,
32,-46540077,-23571307,355030885000015,3550308005079,87,VILA FORMOSA,26,ARICANDUVA,Leste,Leste 1,José Paulo Paes (antigo Vila Formosa),,"Av. Renata, 163",6211-1508,V. Formosa,03377-00,1,1,,
33,-46592007,-23503463,355030889000098,3550308005034,91,VILA MARIA,7,VILA MARIA-VILA GUILHERME,Norte,Norte 2,Pablo Neruda,,Pça. Joaquim José da Nova s/n,6954-2813,V. Maria,02126-00,1,1,,
34,-46639029,-23593175,355030890000059,3550308005046,92,VILA MARIANA,12,VILA MARIANA,Sul,Sul 1,Viriato Correa,,"R. Sena Madureira, 298",5573-4017/5574-0389,Vila Mariana,04038-00,1,1,,
35,-46625581,-23599003,355030890000115,3550308005046,92,VILA MARIANA,12,VILA MARIANA,Sul,Sul 1,Zalina Rolim,,"R. Corredeira, 26",5573-2606,Vila Mariana,,1,1,,
36,-46623240,-23583377,355030890000044,3550308005046,92,VILA MARIANA,12,VILA MARIANA,Sul,Sul 1,Chácara do Castelo,,"R. Brás Lourenço, 333",5573-4929,Jd. da Glória,,1,1,,
37,-46582781,-23581385,355030893000064,3550308005042,95,VILA PRUDENTE,29,VILA PRUDENTE,Leste,Leste 1,Ricardo Ramos,,"Pça. Centenário de Vila Prudente, 25",273-4860,V. Prudente,,1,1,,
38,-46511255,-23560375,355030824000147,3550308005150,04,ARICANDUVA,26,ARICANDUVA,Leste,Leste 1,Milton Santos,,"Av. Aricanduva, 5.777",6726-4882,Jardim Aricanduva,,2,1,,
39,-46484401,-23546283,355030805000081,3550308005148,05,ARTUR ALVIM,21,PENHA,Leste,Leste 1,Plínio Ayrosa,,"Av. Padre Francisco de Toledo, 331",6741-0371,Cohab.I Itaquera,03590-12,2,1,,
40,-46686439,-23449553,355030811000174,3550308005190,11,BRASILANDIA,3,FREGUESIA-BRASILANDIA,Norte,Norte 1,CEU Paz,Biblioteca Augusto dos Anjos,"R. da Paz, s/n",3986.3450 / 3404,Brasilândia,,2,1,,
41,-46779310,-23637081,355030817000050,3550308005236,17,CAMPO LIMPO,17,CAMPO LIMPO,Sul,Sul 2,CEU Campo Limpo,Biblioteca João do Rio,"Av. Carlos Lacerda, 678 - Chácara São Pedro",5843.4837/38/39,Chácara São Pedro,,2,1,,
42,-46773718,-23632178,355030817000190,3550308005235,17,CAMPO LIMPO,17,CAMPO LIMPO,Sul,Sul 2,Helena Silveira,,"João B. Reimão, 146",5841-1259,Campo Limpo,,2,1,,
43,-46703753,-23709836,355030823000169,3550308005287,23,CIDADE DUTRA,19,CAPELA DO SOCORRO,Sul,Sul 2,CEU Cidade Dutra,Biblioteca Rubem Braga,"Rua Cristina de Vaconcelos Ceccato, 111 Jardim. São Nicolau",5668.1952 / 54,Jardim São Nicolau,,2,1,,
44,-46502727,-23570016,355030824000082,3550308005152,24,CIDADE LIDER,27,ITAQUERA,Leste,Leste 2,CEU Aricanduva,Biblioteca Mário Quintana,"Av. Olga Fadel Abarca, s/n - Av. Aricanduva, alt. 5555 - quadra 280",6723.7556/58,Jardim Santa Terezinha,,2,1,,
