ID,LONG,LAT,SETCENS,AREAP,CODDIST,DISTRITO,CODSUBPREF,SUBPREF,REGIAO5,REGIAO8,NOME,ESPACO,ENDERECO,TELEFONE,BAIRRO,CEP,CT_TIPO,CT_DEPADM,INAUGURACAO,ASSENTOS
1,-46648772,-23544521,355030826000098,3550308005012,26,CONSOLACAO,9,SE,Centro,Centro,Monteiro Lobato (Inclui Ônibus Biblioteca),,"R Gal Jardim, 485",3256-4122,V. Buarque,01223-01,1,1,1936/04/14,
2,-46799296,-23686654,355030819000209,3550308005295,19,CAPAO REDONDO,17,CAMPO LIMPO,Sul,Sul 2,CEU Feitiço da Vila,,"Rua Feitiço da Vila, s/nº",,Chácara Santa Maria,05879-000,2,1,,
3,-46779965,-23734886,355030843000272,3550308005289,42,JARDIM ANGELA,18,M'BOI MIRIM,Sul,Sul 2,CEU Vila do Sol,,"Av dos Funcionários Públicos, 369",,Jardim Ângela,04962-000,2,1,,
4,-46723624,-23828021,355030855000021,3550308005301,56,PARELHEIROS,20,PARELHEIROS,Sul,Sul 2,Ponto de Leitura Carolina Maria de Jesus,,"R Terezinha do Prado Oliveira, 119",5921-3665,Parelheiros,04890-090,2,1,2008/06/20,
5,-46696745,-23727619,355030823000082,3550308005219,23,CIDADE DUTRA,19,CAPELA DO SOCORRO,Sul,Sul 2,CEU Vila Rubi,,"Rua Domingos Tarroso,  101",,Vila Rubi,04823-090,2,1,,
6,-46680251,-23766963,355030830000600,3550308005280,30,GRAJAU,19,CAPELA DO SOCORRO,Sul,Sul 2,Ana Aurora do Amaral Lisboa - CEU Três Lagos,,"Es do Barro Branco, s/n - J. Noronha",5976.5661,Jardim Noronha,,2,1,2003/12/19,
7,-46691338,-23735413,355030830000284,3550308005283,30,GRAJAU,19,CAPELA DO SOCORRO,Sul,Sul 2,Ponto de Leitura Graciliano Ramos,Calcadao Cultural do Grajaú,"R  Prof. Oscar Barreto Filho, 252",3496-9638,Parque America,,2,1,,
8,-46764028,-23695899,355030843000053,3550308005291,42,JARDIM ANGELA,18,M'BOI MIRIM,Sul,Sul 2,CEU Guarapiranga,,"Es da Baronesa, 1.120",,Jardim Kagoara,04919-000,2,1,,
9,-46772646,-23686171,355030843000127,3550308005292,42,JARDIM ANGELA,18,M'BOI MIRIM,Sul,Sul 2,Ponto de Leitura Pc do Bambuzal,,"R da Colônia Nova, s/n",5833-3567,Jardim Ângela,05871-270,2,1,2008/09/27,
10,-46785335,-23648416,355030817000183,3550308005236,17,CAMPO LIMPO,17,CAMPO LIMPO,Sul,Sul 2,CEU Canto do Amanhecer,,R Prudêncio do Amaral com Av Cantos do Amanhecer,,Jardim Mitsutani,05791-230,2,1,,
11,-46779310,-23637081,355030817000050,3550308005236,17,CAMPO LIMPO,17,CAMPO LIMPO,Sul,Sul 2,Joao do Rio - CEU Campo Limpo,,"Av Carlos Lacerda, 678 - Chacara São Pedro",5843.4837/,Chácara São Pedro,,2,1,2004/04/17,
12,-46773759,-23632478,355030817000190,3550308005235,17,CAMPO LIMPO,17,CAMPO LIMPO,Sul,Sul 2,Helena Silveira,,"R Dr João B. Reimao, 146",5841-1259,Campo Limpo,05788-27,2,1,1988/11/05,
13,-46744029,-23645847,355030846000282,3550308005228,45,JARDIM SAO LUIS,18,M'BOI MIRIM,Sul,Sul 2,Patativa do Assare - CEU Casa Branca,,"R João Damasceno, 85 - Jdim. Casa Blanca",5519.5212,Jardim Casa Blanca,,2,1,2004/06/27,
14,-46756851,-23617253,355030817000135,3550308005234,17,CAMPO LIMPO,17,CAMPO LIMPO,Sul,Sul 2,Marcos Rey,,"Av. Anacé, 92",5845-2572,Jd. Umarizal,05755-09,2,1,1981/07/12,
15,-46703901,-23709975,355030823000169,3550308005287,23,CIDADE DUTRA,19,CAPELA DO SOCORRO,Sul,Sul 2,Rubem Braga - CEU Cidade Dutra,,"Av Interlagos, 7.350 - Jdim. São  Nicolau",5668.1952,Jardim São Nicolau,,2,1,2003/08/30,
16,-46707708,-23650058,355030871000031,3550308005173,72,SANTO AMARO,14,SANTO AMARO,Sul,Sul 2,Belmonte (Temática em Cultura Popular - 04/08/2007),,"R Paulo Eiró, 525",5687-0408,Santo Amaro,04754-01,2,1,1953/01/25
17,-46708350,-23644396,355030871000035,3550308005174,72,SANTO AMARO,14,SANTO AMARO,Sul,Sul 2,Prestes Maia,,"Av João Dias, 822",5687-0513,Santo Amaro,04724-00,2,1,1965/04/04
18,-46662568,-23593772,355030832000011,3550308005049,53,MOEMA,12,VILA MARIANA,Sul,Sul 1,Espaço Sapucaia - Biblioteca,,"Av IV Centenário, 1268, Portao 7 A",5572-1004,Parque Ibirapuera,,2,1,
19,-46795107,-23429424,355030803000017,3550308005241,03,ANHANGUERA,1,PERUS,Norte,Norte 1,Ponto de Leitura União dos Moradores do Parque Anhanguera,,"R Amadeo Caego Monteiro, 209",3911-3394/3911-3048,Parque Anhanguera,05271-000,2,1,2008/05/30
20,-46750718,-23581705,355030867000108,3550308005183,68,RIO PEQUENO,10,BUTANTA,Oeste,Oeste,Roberto Marinho - CEU Butantã,,"Av Eng. Heitor Antônio Eiras Garcia, 1700 J.Esmeralda",3732.4550,Jardim Esmeralda,,2,1,2003/09/27
21,-46737742,-23575414,355030812000019,3550308005180,12,BUTANTA,10,BUTANTA,Oeste,Oeste,Camila Cerqueira César,,"R Valdemar Sanches, 41",3731-5210,Butantã,05589-05,2,1,1988/11/06
22,-46761972,-23480180,355030895000109,3550308005111,73,SAO DOMINGOS,2,PIRITUBA,Norte,Norte 1,Maria Benedita Camara Bormann - CEU Vila Atlântica,,"R Cel. José Venâncio Dias, 840 - J. Nardini",3901.8744/,Jardim Nardini,,2,1,2003/10/12
23,-46739866,-23485379,355030895000104,3550308005110,73,SAO DOMINGOS,2,PIRITUBA,Norte,Norte 1,Brito Broca,,"Av Mutinga, 1.425",3904-1444,Pirituba,05110-00,2,1,1965/03/04
24,-46700538,-23557571,355030802000060,3550308005106,02,ALTO DE PINHEIROS,11,PINHEIROS,Oeste,Oeste,Alvaro Guerra,,"R Pedroso de Morais, 1.919",3031-7784,Pinheiros,05419-00,2,1,1955/05/15
25,-46700701,-23534976,355030848000044,3550308005059,48,LAPA,8,LAPA,Oeste,Oeste,Clarice Lispector,,"R Jaricunas, 458",3672-1423,Vila Ipojuca,05053-07,2,1,1956/09/07
26,-46683738,-23586442,355030835000059,3550308005050,34,ITAIM BIBI,11,PINHEIROS,Oeste,Oeste,Anne Frank,,"R Cojuba, 45",3078-6352,Itaim,Pinheiros/PI,2,1,1946/01/25
27,-46661688,-23590457,355030832000011,3550308005049,53,MOEMA,12,VILA MARIANA,Sul,Sul 1,Bosque de Leitura - Ibirapuera,,"Av República do Líbano, 1.151 - Portão 7",3253-2331,Pq. Ibirapuera,04502-00,2,1,
28,-46681791,-23557945,355030862000093,3550308005052,63,PINHEIROS,11,PINHEIROS,Oeste,Oeste,Alceu Amoroso Lima (Temática em Poesia - 02/09/2006),,"R Henrique Schaumann, 777",3082-5023,Pinheiros,05413-02,2,1,1979/12/11
29,-46699938,-23526128,355030848000104,3550308005058,48,LAPA,8,LAPA,Oeste,Oeste,Mario Schenberg (Temática em Ciências),,"R Catao, 611",3672-0456,Lapa,05049-00,2,1,1966/11/26
30,-46700520,-23486018,355030829000012,3550308005116,29,FREGUESIA DO O,3,FREGUESIA-BRASILANDIA,Norte,Norte 1,Thales Castanho de Andrade,,"R Arthur Fajardo, 447",3975-7439,Freg. do Ó,02963-00,2,1,1965/04/16
31,-46700703,-23480837,355030829000168,3550308005119,29,FREGUESIA DO O,3,FREGUESIA-BRASILANDIA,Norte,Norte 1,Afonso Schmidt,,"Av Elisio T. Leite, 1.470",3975-2305,Vila Cruz das Almas,02801-00,2,1,1965/04/16
