Nº Protocolo;Código DRE;DRE;Processo SIMPROC;Código Instituição;Instituição;Código Escola;Unidade Conveniada;Vagas Contratadas;Vagas Berçário Contratadas;Total Mensal;Despesa de Instalação;IPTU;Data Início;Data Término;Situação Convênio;Data Lavratura do Termo;Data Lavratura do Aditamento
2510;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2015-0.323.052-6;300.921;CENTRO EDUCACIONAL DE DESENVOLV JUVENIL E INFANTIL CEDEJI;400.806;CEI INDIR - CHACARA DO JOCKEY;204;64;109.129,96;;;22/12/2015;21/06/2018;Aprovado;22/12/2015;22/12/2015
1745;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.281.926-1;300.508;OBRA ASSISTENCIAL JESUS MENINO;400.414;CEI INDIR - COHAB EDUCANDARIO;140;45;79.898,60;;;01/07/2015;31/12/2017;Aprovado;26/12/2012;30/06/2015
53;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.281.971-7;300.517;MOSTEIRO SAO GERALDO DE SAO PAULO;400.460;CEI INDIR - ISABEL RIBEIRO;85;17;51.044,45;;;01/07/2015;30/12/2017;Aprovado;21/12/2012;30/06/2015
1530;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.125.929-7;300.565;SOCIEDADE BENEFICENTE SAO CAMILO;400.639;CEI INDIR - JARDIM ARPOADOR;174;54;95.200,26;;;03/12/2014;02/06/2017;Aprovado;01/06/2012;19/12/2013
51;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.354.449-5;300.464;LIGA DAS SENHORAS CATOLICAS DE SAO PAULO;400.783;CEI INDIR - JARDIM EDITE;166;66;94.536,34;;;26/07/2015;25/01/2018;Aprovado;17/05/2013;05/01/2016
58;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2011-0.352.525-1;300.416;INSTITUICAO BENEFICENTE PERSIO GUIMARAES AZEVEDO;400.633;CEI INDIR - JARDIM JAQUELINE;161;63;91.937,39;;;01/08/2014;31/12/2016;Aprovado;01/02/2012;28/07/2014
2502;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2015-0.283.233-6;300.508;OBRA ASSISTENCIAL JESUS MENINO;400.413;CEI INDIR - JOAO XXIII, PAPA;123;27;69.439,77;;;08/12/2015;07/06/2018;Aprovado;08/12/2015;13/01/2016
1529;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.282.012-0;800.023;LAR DO ALVORECER CRISTÃO;400.408;CEI INDIR - LAR DO ALVORECER CRISTAO;133;49;77.965,67;;;01/07/2015;31/12/2017;Aprovado;26/12/2012;26/12/2012
46;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.282.031-6;300.376;CONJUNTO ASSISTENCIAL NOSSA SENHORA DA CONCEICAO APARECIDA;400.306;CEI INDIR - MAE DO SALVADOR;176;66;98.486,24;;;01/07/2015;31/12/2017;Aprovado;21/12/2012;29/01/2016
57;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.157.995-0;300.428;CRUZADA PRO INFANCIA;400.307;CEI INDIR - MARIA DE LOURDES FERRARINI;109;31;64.391,89;;;19/02/2015;18/08/2017;Aprovado;17/08/2012;01/09/2015
55;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.158.368-8;300.428;CRUZADA PRO INFANCIA;306.562;CEI INDIR - MARIA TEREZA DE MACEDO COSTA;207;88;115.306,93;;;19/02/2015;18/08/2017;Aprovado;17/08/2012;02/02/2015
3748;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2016-0.157.952-3;800.036;ASSOCIAÇÃO NOITE ENCANTADA;400.412;CEI INDIR - NOITE ENCANTADA VII;69;27;45.681,09;;;18/07/2016;17/01/2019;Aprovado;18/07/2016;18/07/2016
2478;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2015-0.272.310-3;300.326;CENTRO SOCIAL SANTO DIAS;400.332;CEI INDIR - NOSSA SENHORA ASSUNCAO;70;;40.530,30;;;23/11/2015;22/05/2018;Aprovado;23/11/2015;
34;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.282.105-3;300.113;ASS CRIANCA BRASIL;400.415;CEI INDIR - RECANTO DA ALEGRIA III;139;36;77.631,61;;;01/07/2015;31/12/2017;Aprovado;28/12/2012;18/06/2015
3750;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2016-0.157.952-3;300.113;ASS CRIANCA BRASIL;306.206;CEI INDIR - RECANTO DA ALEGRIA V;69;27;45.681,09;;;18/07/2016;17/01/2019;Aprovado;18/07/2016;18/07/2016
3747;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2016-0.156.672-3;300.806;INSTITUTO LAETARE DE EDUCACAO, CULTURA E CIDADANIA;400.665;CEI INDIR - SANTA ROSA III;67;18;42.878,67;;;18/07/2016;17/01/2019;Aprovado;18/07/2016;18/07/2016
32;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2013-0.066.265-0;300.549;PROVINCIA CARMELITANA DE SANTO ELIAS;400.370;CEI INDIR - SANTA TEREZA DE JESUS;101;18;58.273,41;;;26/07/2015;25/01/2018;Aprovado;03/04/2013;23/07/2015
2051;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2015-0.176.763-8;300.252;CARITAS DIOCESANA DE CAMPO LIMPO;400.808;CEI INDIR - SAO BENEDITO;157;83;94.517,43;;;25/07/2015;24/01/2018;Aprovado;25/07/2015;
24;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.282.128-2;300.582;SOCIEDADE BENEFICENTE SAO LUIZ GONZAGA;400.416;CEI INDIR - SAO LUIS GONZAGA;223;71;118.090,77;;;01/07/2015;31/12/2017;Aprovado;28/12/2012;01/10/2015
2559;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2015-0.299.181-7;300.126;ASS CULTURAL VITTA;306.192;CEI INDIR - VILA DALVA, CEI;129;18;69.937,71;;;13/01/2016;12/07/2018;Aprovado;13/01/2016;
2080;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2015-0.174.215-5;300.921;CENTRO EDUCACIONAL DE DESENVOLV JUVENIL E INFANTIL CEDEJI;308.451;CR.P.CONV - ALECRIM;269;171;157.060,31;16.800,00;150,12;25/07/2015;24/01/2018;Aprovado;25/07/2015;25/07/2015
2138;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2015-0.186.490-0;800.070;ASSOCIAÇÃO BENEFICENTE ALEGRIA DE APRENDER;308.408;CR.P.CONV - ALEGRIA DE APRENDER;104;55;67.249,84;11.000,00;335,95;25/07/2015;24/01/2018;Aprovado;25/07/2015;25/07/2015
2719;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2016-0.124.684-2;300.707;GREMIO RECREATIVO CULTURAL E DUCACIONAL RUBRO VERDE;306.507;CR.P.CONV - BELEZINHA PRIMAVERA;104;18;59.553,84;8.315,11;528,12;20/06/2016;19/12/2018;Aprovado;20/06/2016;20/06/2016
910;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.144.750-6;300.464;LIGA DAS SENHORAS CATOLICAS DE SAO PAULO;307.815;CR.P.CONV - CASA DA INFANCIA DO MENINO JESUS;281;128;152.856,19;;;01/02/2015;30/07/2017;Aprovado;01/08/2012;20/01/2016
39;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.281.907-5;300.255;CASA DA PEQUENA IVETE ASSOCIACAO ASSISTENCIAL;306.191;CR.P.CONV - CASA DA PEQUENA IVETE;66;18;42.413,46;;;01/07/2015;31/12/2017;Aprovado;28/12/2012;30/06/2015
19;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.048.707-5;300.252;CARITAS DIOCESANA DE CAMPO LIMPO;306.211;CR.P.CONV - DOM EMILIO PIGNOLI;201;;94.632,99;13.450,34;;29/10/2014;29/04/2017;Aprovado;27/04/2012;20/03/2015
44;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.281.934-2;300.064;ASS BARAO DE SOUZA QUEIROS DE PROTECAO A INFANCIA E A JUVENT;306.196;CR.P.CONV - DONA ANA ROSA, INST;304;82;152.372,96;;;01/07/2015;31/12/2017;Aprovado;26/12/2012;26/12/2012
2667;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2016-0.095.167-4;800.093;ASSOCIAÇÃO PAIS E FILHOS;308.673;CR.P.CONV - FAZENDO ARTE;81;32;52.303,61;8.500,00;;31/05/2016;29/11/2018;Aprovado;30/05/2016;30/05/2016
