Nº Protocolo;Código DRE;DRE;Processo SIMPROC;Código Instituição;Instituição;CNPJ;Código Escola;Unidade Conveniada;Vagas Contratadas;Vagas Berçário Contratadas;Total Mensal;Despesa de Instalação;IPTU;Data Início;Data Término;Situação Convênio;Data Lavratura do Termo;Data Lavratura do Aditamento;Data de Atualização;Data Solicitação Convênio
2510;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2015-0.323.052-6;300921;CENTRO EDUCACIONAL DE DESENVOLV JUVENIL E INFANTIL CEDEJI;13.222.705/0001-03;400.806;CEI INDIR - CHACARA DO JOCKEY;204;87;120.747,18;;;22/12/2015;21/06/2018;Aprovado;22/12/2015;22/12/2015;04/08/2017 13:53;11/12/2015
1745;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.281.926-1;300508;OBRA ASSISTENCIAL JESUS MENINO;01.309.378/0001-34;400.414;CEI INDIR - COHAB EDUCANDARIO;140;45;84.691,50;;;01/07/2015;31/12/2017;Aprovado;26/12/2012;30/06/2015;14/07/2017 13:38;25/03/2015
2505;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2015-0.285.254-0;300038;ASS BENEFICENTE CAMINHO DE DAMASCO;01.902.672/0001-55;400.665;CEI INDIR - ESMERALDA;60;16;37.698,80;;;10/12/2015;09/06/2018;Encerrado;10/12/2015;;19/07/2016 11:21;10/12/2015
50;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2013-0.152.734-0;300038;ASS BENEFICENTE CAMINHO DE DAMASCO;01.902.672/0001-55;400.665;CEI INDIR - ESMERALDA;60;16;37.698,80;;;16/07/2013;15/01/2016;Encerrado;16/07/2013;;10/12/2015 11:20;24/03/2014
1202;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2007-0.342.903-1;300517;MOSTEIRO SAO GERALDO DE SAO PAULO;61.697.678/0001-60;400.460;CEI INDIR - ISABEL RIBEIRO;78;17;37.284,00;;;01/07/2010;31/12/2012;Encerrado;28/12/2007;28/09/2011;16/01/2015 09:06;13/08/2014
53;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.281.971-7;300517;MOSTEIRO SAO GERALDO DE SAO PAULO;61.697.678/0001-60;400.460;CEI INDIR - ISABEL RIBEIRO;85;17;54.106,56;;;01/07/2015;30/12/2017;Aprovado;21/12/2012;21/12/2012;07/08/2017 07:48;24/03/2014
22017;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2017-0.066.582-7;300565;SOCIEDADE BENEFICENTE SAO CAMILO;60.975.737/0001-51;400.639;CEI INDIR - JARDIM ARPOADOR;174;54;100.910,94;;;03/06/2017;02/12/2019;Aprovado;02/06/2017;;09/08/2017 09:34;05/06/2017
1530;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.125.929-7;300565;SOCIEDADE BENEFICENTE SAO CAMILO;60.975.737/0001-51;400.639;CEI INDIR - JARDIM ARPOADOR;174;54;100.910,94;;;03/12/2014;02/06/2017;Encerrado;01/06/2012;19/12/2013;19/06/2017 07:37;30/12/2014
51;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.354.449-5;300464;LIGA DAS SENHORAS CATOLICAS DE SAO PAULO;60.597.044/0001-72;400.783;CEI INDIR - JARDIM EDITE;166;66;100.207,26;;;26/07/2015;25/01/2018;Aprovado;17/05/2013;05/01/2016;17/08/2017 17:00;24/03/2014
4865;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2016-0.248.103-9;300416;INSTITUICAO BENEFICENTE PERSIO GUIMARAES AZEVEDO;62.440.094/0001-77;400.633;CEI INDIR - JARDIM JAQUELINE;161;63;97.452,42;;;01/01/2017;30/06/2019;Aprovado;09/12/2016;09/12/2016;06/07/2017 11:24;15/12/2016
