Nº Protocolo,Código DRE,DRE,Processo SIMPROC,Código OSC Parceira,OSC Parceira,CNPJ,Código Escola,Unidade Educacional,Vagas Contratadas,Vagas Berçário Contratadas,Total Mensal,Verba Locação,Valor Mensal IPTU,Data Início,Data Término,Situação Parceria,Data Lavratura do Termo,Data Lavratura do Aditamento,Data Solicitação Parceria,Data do Encerramento
7092017,108100,DIRETORIA REGIONAL DE EDUCACAO BUTANTA,6016.2017/0046684-8,300921,CENTRO EDUCACIONAL DE DESENVOLV JUVENIL E INFANTIL CEDEJI,13.222.705/0001-03,400806.0,CEI INDIR - CHACARA DO JOCKEY,267,96.0,160002.93,,,2018-01-01,2022-12-31,Aprovado,2018-01-01,2018-01-01,2017-12-06,
2510,108100,DIRETORIA REGIONAL DE EDUCACAO BUTANTA,2015-0.323.052-6,300921,CENTRO EDUCACIONAL DE DESENVOLV JUVENIL E INFANTIL CEDEJI,13.222.705/0001-03,400806.0,CEI INDIR - CHACARA DO JOCKEY,279,132.0,166768.62,,,2015-12-22,2018-06-21,Encerrado,2015-12-22,2017-12-04,2015-12-11,2017-12-31
5912017,108100,DIRETORIA REGIONAL DE EDUCACAO BUTANTA,6016.2017/0040577-6,300508,OBRA ASSISTENCIAL JESUS MENINO,01.309.378/0001-34,400414.0,CEI INDIR - COHAB EDUCANDARIO,148,41.0,93458.58,,,2018-01-01,2022-12-31,Aprovado,2018-01-01,2018-01-01,2017-11-29,
1745,108100,DIRETORIA REGIONAL DE EDUCACAO BUTANTA,2012-0.281.926-1,300508,OBRA ASSISTENCIAL JESUS MENINO,01.309.378/0001-34,400414.0,CEI INDIR - COHAB EDUCANDARIO,140,45.0,84691.5,,,2015-07-01,2017-12-31,Encerrado,2012-12-26,2015-06-30,2015-03-25,2017-12-31
2505,108100,DIRETORIA REGIONAL DE EDUCACAO BUTANTA,2015-0.285.254-0,300038,ASS BENEFICENTE CAMINHO DE DAMASCO,01.902.672/0001-55,400665.0,CEI INDIR - ESMERALDA,60,16.0,42763.12,,,2015-12-10,2018-06-09,Encerrado,2015-12-10,,2015-12-10,2016-07-05
50,108100,DIRETORIA REGIONAL DE EDUCACAO BUTANTA,2013-0.152.734-0,300038,ASS BENEFICENTE CAMINHO DE DAMASCO,01.902.672/0001-55,400665.0,CEI INDIR - ESMERALDA,60,16.0,37698.8,,,2013-07-16,2016-01-15,Encerrado,2013-07-16,,2014-03-24,2015-12-10
11162017,108100,DIRETORIA REGIONAL DE EDUCACAO BUTANTA,6016.2017/0049826-0,301040,ASS MISSIONARIAS DE SANTISSIMA TRINDADE,62.197.413/0001-65,400460.0,CEI INDIR - ISABEL RIBEIRO,85,17.0,0.0,,,,,Encerrado,,,2017-12-21,2017-12-31
1712018,108100,DIRETORIA REGIONAL DE EDUCACAO BUTANTA,6016.2018/0000866-3,300252,CARITAS DIOCESANA DE CAMPO LIMPO,64.033.061/0001-38,400840.0,CEI INDIR - ISABEL RIBEIRO,85,17.0,57978.91,,,2018-01-17,2023-01-16,Aprovado,2018-01-17,,2018-01-12,
922018,108100,DIRETORIA REGIONAL DE EDUCACAO BUTANTA,6016.2018/0000866-3,300252,CARITAS DIOCESANA DE CAMPO LIMPO,64.033.061/0001-38,400460.0,CEI INDIR - ISABEL RIBEIRO,85,17.0,0.0,,,,,Encerrado,,,2018-01-10,2018-01-11
1202,108100,DIRETORIA REGIONAL DE EDUCACAO BUTANTA,2007-0.342.903-1,300517,MOSTEIRO SAO GERALDO DE SAO PAULO,61.697.678/0001-60,400460.0,CEI INDIR - ISABEL RIBEIRO,78,17.0,37284.0,,,2010-07-01,2012-12-31,Encerrado,2007-12-28,2011-09-28,2014-08-13,
