ID,LONG,LAT,SETCENS,AREAP,CODDIST,DISTRITO,CODSUBPREF,SUBPREF,REGIAO5,REGIAO9,NOME,ESPACO,ENDERECO,TELEFONE,BAIRRO,CEP,CT_TIPO,CT_DEPADM,INAUGURACAO,ASSENTOS
1,-46648772,-23544521,,,,MUNICIPIO COTIA,,MUNICIPIO COTIA,,,Monteiro Lobato (Inclui +ônibus Biblioteca),,"R Gal Jardim, 485",3256-4122,V. Buarque,01223-01,1,1,1936/04/14,
2,-46411435,-23569249,355030878000033,3550308005001,80,SE,9,SE,Centro,Centro,Adelaide de Castro Alves Guimarães - CEU Inácio Monteiro,,"R Br Barroso do Amazonas, s/n -  Prestes Maia",6518.9014,Prestes Maia,,2,1,2003/11/21,
3,-46610957,-23526216,355030878000033,3550308005001,80,SE,9,SE,Centro,Centro,Adelpha Figueiredo,,"Pc Ilo Otani, 146",292-3439,Canindé,03028-00,2,1,1966/10/06,
4,-46597482,-23550688,355030878000035,3550308005001,80,SE,9,SE,Centro,Centro,Affonso Taunay,,"R Taquari, 549",6292-5126,Mooca,03166-00,2,1,1965/02/02,
5,-46700703,-23480837,355030878000005,3550308005001,80,SE,9,SE,Centro,Centro,Afonso Schmidt,,"Av Elísio T. Leite, 1.470",3975-2305,Vila Cruz das Almas,02801-00,2,1,1966/04/16,
6,-46681791,-23557945,355030878000005,3550308005001,80,SE,9,SE,Centro,Centro,Alceu Amoroso Lima (Temática em Poesia - 02/09/2006),,"R Henrique Schaumann, 777",3082-5023,Pinheiros,05413-02,2,1,1979/12/11,
7,-46592268,-23503619,355030878000005,3550308005001,80,SE,9,SE,Centro,Centro,Álvares  de Azevedo,,Pc Joaquim José da Nova s/n,6954-3118,Vila Maria,02126-00,2,1,1956/09/07,
8,-46700538,-23557571,355030878000005,3550308005001,80,SE,9,SE,Centro,Centro,Álvaro Guerra,,"R Pedroso de Morais, 1.919",3031-7784,Pinheiros,05419-00,2,1,1955/05/15,
9,-46615948,-23612004,355030878000005,3550308005001,80,SE,9,SE,Centro,Centro,Amadeu Amaral,,R José Clóvis Castro s/n,5061-3320,Jardim da Saúde,04290-10,2,1,1966/10/06,
10,-46679930,-23768351,355030878000004,3550308005001,80,SE,9,SE,Centro,Centro,Ana Aurora do Amaral Lisboa - CEU Três Lagos,,"Es do Barro Branco, s/n - J. Noronha",5976.5661,Jardim Noronha,,2,1,2003/12/19,
11,-46683738,-23586442,355030878000004,3550308005001,80,SE,9,SE,Centro,Centro,Anne Frank,,"R Cojuba, 45",3078-6352,Itaim,Pinheiros/PI,2,1,1946/01/25,
12,-46688383,-23447468,355030878000006,3550308005001,80,SE,9,SE,Centro,Centro,Augusto dos Anjos - CEU Paz,,"R da Paz, s/n",3986.3450,Brasilândia,,2,1,2004/05/15,
13,-46547401,-23594544,355030878000006,3550308005001,80,SE,9,SE,Centro,Centro,Aureliano Leite,,"R Otto Schubart, 196",6211-7716,Parque São Lucas,03238-03,2,1,1981/07/08,
14,-46473056,-23509239,355030878000006,3550308005001,80,SE,9,SE,Centro,Centro,Barbosa Lima Sobrinho CEU Parque São Carlos,,"R Clarear, 141 - Jdim. São Carlos",6145.4255,Jardim São Carlos,,2,1,2003/12/03,
15,-46707914,-23650236,355030878000006,3550308005001,80,SE,9,SE,Centro,Centro,Belmonte (Temática em Cultura Popular - 04/08/2007),,"R Paulo Eiro, 525",5687-0408,Santo Amaro,04754-01,2,1,1953/01/25,
16,-46639747,-23570611,355030878000006,3550308005001,80,SE,9,SE,Centro,Centro,Biblioteca de Braile - Centro Cultural São Paulo,,"R Vergueiro, 1.000",3277-3611,Paraíso,01504-00,2,1,1947/04/29,
17,-46651000,-23547665,355030878000006,3550308005001,80,SE,9,SE,Centro,Centro,BMA - Biblioteca Circulante,,"R da Consolação, 1.024",3257-8787,Consolação,01302-00,2,1,,
18,-46641586,-23546742,355030878000006,3550308005001,80,SE,9,SE,Centro,Centro,BMA - Ônibus Biblioteca,,"R da Consolação, 94",3241-3459,Consolação,01302-00,2,1,,
19,-46661688,-23590457,355030878000006,3550308005001,80,SE,9,SE,Centro,Centro,Bosque de Leitura - Ibirapuera,,"Av República do Líbano, 1.151 - Portao 7",3253-2331,Pq. Ibirapuera,04502-00,2,1,,
20,-46574846,-23528840,355030878000006,3550308005001,80,SE,9,SE,Centro,Centro,Bosque de Leitura - Piqueri,,"R Tuiuti, 515",3253-2331,Tatuapé,03081-00,2,1,,
21,-46777806,-23413823,355030878000006,3550308005001,80,SE,9,SE,Centro,Centro,Bosque de Leitura Anhanguera,,"Av Fotunata Tadiello Natucci, 1000 (continuação da R Sílvio de Campos)",,Perus,05204-000,2,1,2007/10/21,
22,-46628607,-23571915,355030878000006,3550308005001,80,SE,9,SE,Centro,Centro,Bosque de Leitura da Aclimação,,"R Muniz de Souza, 1119",,Aclimação,01534-001,2,1,2007/10/21,
23,-46633372,-23532059,355030878000007,3550308005001,80,SE,9,SE,Centro,Centro,Bosque de Leitura da Luz,,"R Ribeiro de Lima, 99 - Parque da Luz",,Luz,,2,1,,
24,-46468533,-23569628,355030878000006,3550308005001,80,SE,9,SE,Centro,Centro,Bosque de Leitura do Carmo,,"Av Afonso de Sampaio e Souza, 951",,Parque do Carmo,,2,1,,
25,-46739866,-23485379,355030878000006,3550308005001,80,SE,9,SE,Centro,Centro,Brito Broca,,"Av Mutinga, 1.425",3904-1444,Pirituba,05110-00,2,1,1965/03/04,
26,-46737742,-23575414,355030878000007,3550308005001,80,SE,9,SE,Centro,Centro,Camila Cerqueira César,,"R Valdemar Sanches, 41",3731-5210,Butantã,05589-05,2,1,1988/11/06,
27,-46448727,-23602893,355030878000007,3550308005001,80,SE,9,SE,Centro,Centro,Camilo Pedro dos Reis - CEU São  Mateus,,"R Curumatim, 201 - Pque Boa Esperança",6732.8154,Parque Boa Esperança,,2,1,2003/11/08,
28,-46571682,-23535614,355030878000007,3550308005001,80,SE,9,SE,Centro,Centro,Cassiano Ricardo (Temática em Música - 10/11/2007),,"Av Celso Garcia, 4.200",6192-4570,Tatuapé,03064-00,2,1,1953/02/03,
29,-46590081,-23630984,355030878000007,3550308005001,80,SE,9,SE,Centro,Centro,Castro Alves,,"R Abrahão Mussa, s/n",6946-4562,Jd. Patente,04256-19,2,1,1988/11/06,
30,-46670054,-23475764,355030878000004,3550308005001,80,SE,9,SE,Centro,Centro,Centro Cultural da Juventude Ruth Cardoso,Biblioteca do Centro Cultural da Juventude,"Av Deputado Emílio Carlos, 3641",3984-2466,Vila Nova Cachoeirinha,,2,1,,
31,-46401723,-23598317,355030878000001,3550308005001,80,SE,9,SE,Centro,Centro,CEU Água Azul,,"Av dos Metalúrgicos, S/N",,Cidade Tiradentes,08471-000,2,1,,
32,-46459341,-23522394,355030878000001,3550308005001,80,SE,9,SE,Centro,Centro,CEU Azul da Cor do Mar,,"Av Ernesto Souza Cruz,  2171",,Cidade Antônio Estevão de Carvalho,08225-380,2,1,,
33,-46786739,-23647766,355030878000001,3550308005001,80,SE,9,SE,Centro,Centro,CEU Canto do Amanhecer,,R Prudêncio do Amaral com Av Cantos do Amanhecer,,Jardim Mitsutani,05791-230,2,1,,
34,-46791041,-23685252,355030878000001,3550308005001,80,SE,9,SE,Centro,Centro,CEU Feitiço da Vila,,"R FeitiÇo da Vila,  S/N",,Chácara Santa Maria,05879-000,2,1,,
35,-46761964,-23692513,355030878000001,3550308005001,80,SE,9,SE,Centro,Centro,CEU Guarapiranga,,"Es da Baronesa, 1.120",,Jardim Kagoara,04919-000,2,1,,
36,-46582792,-23459806,355030878000002,3550308005001,80,SE,9,SE,Centro,Centro,CEU Jaçanã,,"Av Antônio César Neto, S/N",,Guapira,02276-000,2,1,,
37,-46703094,-23462552,355030878000002,3550308005001,80,SE,9,SE,Centro,Centro,CEU Jardim Paulistano,,"R Encruzilhada do Sul, S/N",,Freguesia do Ó,02816-010,2,1,,
38,-46399097,-23543126,355030878000001,3550308005001,80,SE,9,SE,Centro,Centro,CEU Lajeado,,"R Manuel da Mota Coutinho, 293",,Lajeado - Zona Leste,08451-420,2,1,,
39,-46495556,-23497791,355030878000001,3550308005001,80,SE,9,SE,Centro,Centro,CEU Quinta do Sol,,Av Luís Imparato com Av Olavo Egídio de Souza Aranha,,Vila Cisper - Penha,03819-160,2,1,,
40,-46492674,-23608450,355030878000001,3550308005001,80,SE,9,SE,Centro,Centro,CEU Sapopemba,,R Manuel Quirino de Mattos com R Victoria Marconato Santos,,Jardim Sapopemba,03969-000,2,1,,
41,-46380176,-23480505,355030878000003,3550308005001,80,SE,9,SE,Centro,Centro,CEU Três Pontes,,R Capachos com R Catule,,São  Miguel Paulista,08191-330,2,1,,
42,-46782556,-23732978,355030878000003,3550308005001,80,SE,9,SE,Centro,Centro,CEU Vila do Sol,,"Av dos Funcionários Públicos, 369",,Jardim Ângela,04962-000,2,1,,
43,-46697995,-23726495,355030878000003,3550308005001,80,SE,9,SE,Centro,Centro,CEU Vila Rubi,,"Rua Domingos Tarroso,   101",,Vila Rubi,04823-090,2,1,,
44,-46701506,-23532171,355030878000001,3550308005001,80,SE,9,SE,Centro,Centro,Clarice Lispector,,"R Jaricunas, 458",3672-1423,Vila Ipojuca,05053-07,2,1,1956/09/07,
45,-46409170,-23544924,355030878000007,3550308005001,80,SE,9,SE,Centro,Centro,Cora Coralina,,"R Otelo A. Ribeiro, 113",6557-8004,Guaianases,08461-00,2,1,1966/05/21,
