ATENDIMENTO;UNIDADE;AGRUPAMENTO;IDADE;DATA;STATUS;REFEICAO;CARDAPIO
DIRETA;CCI;3;C - 4 A 5 MESES;08/02/2019;PUBLICADO;J - JANTAR;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;08/02/2019;PUBLICADO;A - ALMOCO;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;08/02/2019;PUBLICADO;D - DESJEJUM;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;08/02/2019;PUBLICADO;L - LANCHE;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;07/02/2019;PUBLICADO;J - JANTAR;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;07/02/2019;PUBLICADO;A - ALMOCO;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;07/02/2019;PUBLICADO;D - DESJEJUM;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;07/02/2019;PUBLICADO;L - LANCHE;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;06/02/2019;PUBLICADO;J - JANTAR;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;06/02/2019;PUBLICADO;A - ALMOCO;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;06/02/2019;PUBLICADO;D - DESJEJUM;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;06/02/2019;PUBLICADO;L - LANCHE;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;05/02/2019;PUBLICADO;J - JANTAR;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;05/02/2019;PUBLICADO;A - ALMOCO;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;05/02/2019;PUBLICADO;D - DESJEJUM;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;05/02/2019;PUBLICADO;L - LANCHE;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;04/02/2019;PUBLICADO;J - JANTAR;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;04/02/2019;PUBLICADO;A - ALMOCO;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;04/02/2019;PUBLICADO;D - DESJEJUM;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;04/02/2019;PUBLICADO;L - LANCHE;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;15/02/2019;PUBLICADO;A - ALMOCO;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;15/02/2019;PUBLICADO;D - DESJEJUM;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;15/02/2019;PUBLICADO;J - JANTAR;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;15/02/2019;PUBLICADO;L - LANCHE;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;14/02/2019;PUBLICADO;A - ALMOCO;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;14/02/2019;PUBLICADO;D - DESJEJUM;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;14/02/2019;PUBLICADO;J - JANTAR;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;14/02/2019;PUBLICADO;L - LANCHE;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;13/02/2019;PUBLICADO;A - ALMOCO;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;13/02/2019;PUBLICADO;D - DESJEJUM;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;13/02/2019;PUBLICADO;J - JANTAR;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;13/02/2019;PUBLICADO;L - LANCHE;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;12/02/2019;PUBLICADO;A - ALMOCO;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;12/02/2019;PUBLICADO;D - DESJEJUM;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;12/02/2019;PUBLICADO;J - JANTAR;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;12/02/2019;PUBLICADO;L - LANCHE;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;11/02/2019;PUBLICADO;A - ALMOCO;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;11/02/2019;PUBLICADO;D - DESJEJUM;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;11/02/2019;PUBLICADO;J - JANTAR;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;11/02/2019;PUBLICADO;L - LANCHE;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;22/02/2019;PUBLICADO;D - DESJEJUM;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;22/02/2019;PUBLICADO;J - JANTAR;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;22/02/2019;PUBLICADO;A - ALMOCO;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;22/02/2019;PUBLICADO;L - LANCHE;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;21/02/2019;PUBLICADO;D - DESJEJUM;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;21/02/2019;PUBLICADO;J - JANTAR;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;21/02/2019;PUBLICADO;A - ALMOCO;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;21/02/2019;PUBLICADO;L - LANCHE;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;20/02/2019;PUBLICADO;D - DESJEJUM;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;20/02/2019;PUBLICADO;J - JANTAR;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;20/02/2019;PUBLICADO;A - ALMOCO;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;20/02/2019;PUBLICADO;L - LANCHE;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;19/02/2019;PUBLICADO;D - DESJEJUM;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;19/02/2019;PUBLICADO;J - JANTAR;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;19/02/2019;PUBLICADO;A - ALMOCO;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;19/02/2019;PUBLICADO;L - LANCHE;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;18/02/2019;PUBLICADO;D - DESJEJUM;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;18/02/2019;PUBLICADO;J - JANTAR;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;18/02/2019;PUBLICADO;A - ALMOCO;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;18/02/2019;PUBLICADO;L - LANCHE;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;01/03/2019;PUBLICADO;D - DESJEJUM;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;01/03/2019;PUBLICADO;A - ALMOCO;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
