Nº Protocolo;Código DRE;DRE;Processo SIMPROC;Código OSC Parceira;OSC Parceira;CNPJ;Código Escola;Unidade Educacional;Vagas Contratadas; Vagas Berçário Contratadas ;Total Mensal;Verba Locação;Valor Mensal IPTU;Data Início;Data Término;Situação Parceria;Data Lavratura do Termo;Data Lavratura do Aditamento;Data de Atualização;Data Solicitação Parceria;Data do Encerramento
2510;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2015-0.323.052-6;300921;CENTRO EDUCACIONAL DE DESENVOLV JUVENIL E INFANTIL CEDEJI;13.222.705/0001-03;400806;CEI INDIR - CHACARA DO JOCKEY;279;132;162069,78;;;22/12/2015;21/06/2018;Encerrado;22/12/2015;04/12/2017;21/02/2018;11/12/2015;31/12/2017
1745;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.281.926-1;300508;OBRA ASSISTENCIAL JESUS MENINO;01.309.378/0001-34;400414;CEI INDIR - COHAB EDUCANDARIO;140;45;84691,5;;;01/07/2015;31/12/2017;Encerrado;26/12/2012;30/06/2015;21/02/2018;25/03/2015;31/12/2017
2505;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2015-0.285.254-0;300038;ASS BENEFICENTE CAMINHO DE DAMASCO;01.902.672/0001-55;400665;CEI INDIR - ESMERALDA;60;16;37698,8;;;10/12/2015;09/06/2018;Encerrado;10/12/2015;;19/07/2016;10/12/2015;05/07/2016
50;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2013-0.152.734-0;300038;ASS BENEFICENTE CAMINHO DE DAMASCO;01.902.672/0001-55;400665;CEI INDIR - ESMERALDA;60;16;37698,8;;;16/07/2013;15/01/2016;Encerrado;16/07/2013;;10/12/2015;24/03/2014;10/12/2015
11162017;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;6016.2017/0049826-0;301040;ASS MISSIONARIAS DE SANTISSIMA TRINDADE;62.197.413/0001-65;400460;CEI INDIR - ISABEL RIBEIRO;85;17;0;;;;;Encerrado;;;11/01/2018;21/12/2017;31/12/2017
1202;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2007-0.342.903-1;300517;MOSTEIRO SAO GERALDO DE SAO PAULO;61.697.678/0001-60;400460;CEI INDIR - ISABEL RIBEIRO;78;17;37284;;;01/07/2010;31/12/2012;Encerrado;28/12/2007;28/09/2011;16/01/2015;13/08/2014;
53;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.281.971-7;300517;MOSTEIRO SAO GERALDO DE SAO PAULO;61.697.678/0001-60;400460;CEI INDIR - ISABEL RIBEIRO;85;17;54106,56;;;01/07/2015;30/12/2017;Encerrado;21/12/2012;21/12/2012;23/02/2018;24/03/2014;30/12/2017
22017;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2017-0.066.582-7;300565;SOCIEDADE BENEFICENTE SAO CAMILO;60.975.737/0001-51;400639;CEI INDIR - JARDIM ARPOADOR;174;54;103836,66;;;03/06/2017;02/12/2019;Aprovado;02/06/2017;;09/08/2017;05/06/2017;
1530;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.125.929-7;300565;SOCIEDADE BENEFICENTE SAO CAMILO;60.975.737/0001-51;400639;CEI INDIR - JARDIM ARPOADOR;174;54;100910,94;;;03/12/2014;02/06/2017;Encerrado;01/06/2012;19/12/2013;19/06/2017;30/12/2014;02/06/2017
51;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.354.449-5;300464;LIGA DAS SENHORAS CATOLICAS DE SAO PAULO;60.597.044/0001-72;400783;CEI INDIR - JARDIM EDITE;166;66;103112,54;;;26/07/2015;25/01/2018;Encerrado;17/05/2013;05/01/2016;11/01/2018;24/03/2014;31/12/2017
4865;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2016-0.248.103-9;300416;INSTITUICAO BENEFICENTE PERSIO GUIMARAES AZEVEDO;62.440.094/0001-77;400633;CEI INDIR - JARDIM JAQUELINE;161;63;91937,39;;;01/01/2017;30/06/2019;Encerrado;09/12/2016;09/12/2016;15/02/2018;15/12/2016;01/01/2018
