Nº Protocolo;Código DRE;DRE;Processo SIMPROC;Código OSC Parceira;OSC Parceira;CNPJ;Código Escola;Unidade Educacional;Vagas Contratadas;Vagas Berçário Contratadas;Total Mensal;Verba Locação;Valor Mensal IPTU;Data Início;Data Término;Situação Parceria;Data Lavratura do Termo;Data Lavratura do Aditamento;Data Solicitação Parceria;Data do Encerramento
7092017;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;6016.2017/0046684-8;300.921;CENTRO EDUCACIONAL DE DESENVOLV JUVENIL E INFANTIL CEDEJI;13.222.705/0001-03;400.806;CEI INDIR - CHACARA DO JOCKEY;267;96;153.431,46;;;01/01/2018;31/12/2022;Aprovado;01/01/2018;01/01/2018;06/12/2017;
2510;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2015-0.323.052-6;300.921;CENTRO EDUCACIONAL DE DESENVOLV JUVENIL E INFANTIL CEDEJI;13.222.705/0001-03;400.806;CEI INDIR - CHACARA DO JOCKEY;279;132;162.069,78;;;22/12/2015;21/06/2018;Encerrado;22/12/2015;04/12/2017;11/12/2015;31/12/2017
5912017;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;6016.2017/0040577-6;300.508;OBRA ASSISTENCIAL JESUS MENINO;01.309.378/0001-34;400.414;CEI INDIR - COHAB EDUCANDARIO;148;41;89.686,03;;;01/01/2018;31/12/2022;Aprovado;01/01/2018;01/01/2018;29/11/2017;
1745;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.281.926-1;300.508;OBRA ASSISTENCIAL JESUS MENINO;01.309.378/0001-34;400.414;CEI INDIR - COHAB EDUCANDARIO;140;45;84.691,50;;;01/07/2015;31/12/2017;Encerrado;26/12/2012;30/06/2015;25/03/2015;31/12/2017
2505;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2015-0.285.254-0;300.038;ASS BENEFICENTE CAMINHO DE DAMASCO;01.902.672/0001-55;400.665;CEI INDIR - ESMERALDA;60;16;37.698,80;;;10/12/2015;09/06/2018;Encerrado;10/12/2015;;10/12/2015;05/07/2016
50;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2013-0.152.734-0;300.038;ASS BENEFICENTE CAMINHO DE DAMASCO;01.902.672/0001-55;400.665;CEI INDIR - ESMERALDA;60;16;37.698,80;;;16/07/2013;15/01/2016;Encerrado;16/07/2013;;24/03/2014;10/12/2015
11162017;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;6016.2017/0049826-0;301.040;ASS MISSIONARIAS DE SANTISSIMA TRINDADE;62.197.413/0001-65;400.460;CEI INDIR - ISABEL RIBEIRO;85;17;0;;;;;Encerrado;;;21/12/2017;31/12/2017
1712018;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;6016.2018/0000866-3;300.252;CARITAS DIOCESANA DE CAMPO LIMPO;64.033.061/0001-38;400.840;CEI INDIR - ISABEL RIBEIRO;85;17;55.675,49;;;17/01/2018;16/01/2023;Aprovado;17/01/2018;;12/01/2018;
922018;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;6016.2018/0000866-3;300.252;CARITAS DIOCESANA DE CAMPO LIMPO;64.033.061/0001-38;400.460;CEI INDIR - ISABEL RIBEIRO;85;17;0;;;;;Encerrado;;;10/01/2018;11/01/2018
1202;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2007-0.342.903-1;300.517;MOSTEIRO SAO GERALDO DE SAO PAULO;61.697.678/0001-60;400.460;CEI INDIR - ISABEL RIBEIRO;78;17;37.284,00;;;01/07/2010;31/12/2012;Encerrado;28/12/2007;28/09/2011;13/08/2014;
