Cod OSC;Nome OSC;CNPJ;Tipo_Logradouro;Nome_Logradouro;Endereco_Numero;Complemento;Bairro;CEP;Representante Legal;Portaria Credenciamento;Validade Credenciamento;Data Descredenciamento;Status Credenciamento;;;;;;;;
300001;A ALTERNATIVA - ASS DE ASSISTENCIA AO EXCEPCIONAL;53835690000165;Rua;JOAQUIM NABUCO;513   ;;BROOKLIN PAULISTA;4621003;MARIA LOURDES DE SOUSA UOYA;;;;CREDENCIADA;;;;;;;;
300003;ASSOCIAÇÃO AMIGOS LUTANDO PARA UM FUTURO MELHOR;00385999000134;Rua;PROFESSOR SYLVIO MARCONDES MACHADO;191   ;;JARDIM SANTA CRUZ (ZONA NORTE);2674040;CLAUDETE DOS SANTOS MORETTI;2;2017-01-17 00:00:00.000;;CREDENCIADA;;;;;;;;
300004;AACD ASS DE ASSISTENCIA A CRIANCA DEFICIENTE;60979457000111;Avenida;PROFESSOR ASCENDINO REIS;724   ;;VILA CLEMENTINO;4027000;JOAO OCTAVIANO MACHADO NETO;;;;CREDENCIADA;;;;;;;;
300005;ASS ANJOS DA PAZ DA VILA SANTISTA;07696678000108;Travessa;GERALDO FERRAZ;17    ;;VILA SANTISTA;2560220;TEREZINHA GRAMACHO DE SOUZA;42;2017-08-17 00:00:00.000;;CREDENCIADA;;;;;;;;
300006;ABC ASS BENEFICENTE COMUNITARIA NOVO MUNDO;66058942000139;Rua;ARTUR TIMÓTEO DA COSTA;218   ;;VILA EMA;3278110;ANTONIO VIOTTO NETTO;82;2017-07-21 00:00:00.000;;CREDENCIADA;;;;;;;;
300007;ASS ASSISTENCIAL ARCA DE NOE DE APOIO AOS MENORES CARENTES;04297136000166;Rua;CONSELHEIRO SARAIVA;306   ;CJ 142 SALA 02;SANTANA;2037020;FREDERIC RIO;;;;CREDENCIADA;;;;;;;;
300008;ACAO BRASILEIRA DE ASSISTENCIA E CONSCIENTIZACAO DA CIDADANI;04401524000145;Rua;MIGUEL RACHID;311   ;;VILA PARANAGUÁ;3808130;ERASMO CORDEIRO DE OLIVEIRA;106;2017-09-22 00:00:00.000;;CREDENCIADA;;;;;;;;
300009;ASS AMIGOS DE BAIRROS DA CIDADE DE NOVA SAO MIGUEL;55953004000186;Rua;IDA VANUSSI PUNTEL;11    ;A;CIDADE NOVA SÃO MIGUEL;8042280;DIONISIO SOARES MALTA;104;2017-10-22 00:00:00.000;;CREDENCIADA;;;;;;;;
300010;ACAO COMUNITARIA CANTINHO FELIZ;01870905000185;Rua;SERRANOS;208   ;;VILA DO BOSQUE;4147030;GISELA SILVA BARBOSA;103;2017-08-13 00:00:00.000;;CREDENCIADA;;;;;;;;
300011;ASS AMIGOS DE VILA ZILDA E PARQUE CASA DA PEDRA;53374849000191;Rua;ALICE BARROS CASTILHO;21    ;;JARDIM ATALIBA LEONEL;2324080;;;;;CREDENCIADA;;;;;;;;
