Id Dotação,Sigla da Empresa,Descrição da empresa,Código do órgão,Descrição do órgão,Código da unidade,Descrição da unidade,Código da função,Descrição da função,Código da subfunção,Descrição da subfunção,Código do programa do governo,Descrição do programa do governo,Código do projeto/atividade,Descrição do projeto/atividade,Código da conta despesa,Descrição da conta despesa,Código da categoria econômica,Descrição da categoria econômica,Código do grupo de natureza da despesa,Descrição do grupo de natureza da despesa,Código da modalidade de aplicação,Descrição da modalidade de aplicação,Código do elemento de despesa,Descrição do elemento de despesa,Código da fonte de recurso,Descrição da fonte de recurso,Exercício,Proposto,Orçado,Atualizado,EmpenhadoBruto,Anulado,EmpenhadoLiquido,Liquidado,Pago,Congelado,RestosSaldoTransferido,RestosProcessados,RestosNaoProcessados,RestosLiquidado,RestosPago,RestosCancelado,RestosSaldo
79915,PMSP,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,11,Secretaria do Governo Municipal,10,Gabinete do Prefeito,04,Administração,122,Administração Geral,2610,Suporte administrativo,2100,Administração do Gabinete do Prefeito,33903600,Outros Serviços de Terceiros - Pessoa Física,3,Despesas Correntes,3,OUTRAS DESPESAS CORRENTES,90,Aplicações Diretas,36,Outros Serviços de Terceiros - Pessoa Física,00,Tesouro Municipal,2013,.00,10000.00,7048.00,.00,.00,.00,.00,.00,3000.00,.00,.00,.00,.00,.00,.00,.00
79921,PMSP,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,11,Secretaria do Governo Municipal,10,Gabinete do Prefeito,04,Administração,122,Administração Geral,2610,Suporte administrativo,2104,Administração do Gabinete do Vice-Prefeito,33903900,Outros Serviços de Terceiros -Pessoa Jurídica,3,Despesas Correntes,3,OUTRAS DESPESAS CORRENTES,90,Aplicações Diretas,39,Outros Serviços de Terceiros - Pessoa Jurídica,00,Tesouro Municipal,2013,.00,15000.00,15000.00,2100.00,.00,2100.00,2100.00,2100.00,3500.00,.00,.00,.00,.00,.00,.00,.00
79926,PMSP,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,11,Secretaria do Governo Municipal,10,Gabinete do Prefeito,23,Comércio e Serviços,695,Turismo,1340,Afirmação da cidade como referência mundial em eventos e turismo,1020,Aumento de Capital da São Paulo Turismo S/A,45906500,Constituição ou Aumento de Capital de Empresas,4,Despesas de Capital,5,INVERSOES FINANCEIRAS,90,Aplicações Diretas,65,Constituição ou Aumento de Capital de Empresas,00,Tesouro Municipal,2013,.00,100000.00,7000000.00,7000000.00,.00,7000000.00,7000000.00,7000000.00,.00,.00,.00,.00,.00,.00,.00,.00
79937,PMSP,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,11,Secretaria do Governo Municipal,14,Secretaria Executiva de Comunicação,24,Comunicações,122,Administração Geral,2610,Suporte administrativo,2125,Administração da Secretaria  Executiva de  Comunicação,33903300,Passagens e Despesas com Locomoção,3,Despesas Correntes,3,OUTRAS DESPESAS CORRENTES,90,Aplicações Diretas,33,Passagens e Despesas com Locomoção,00,Tesouro Municipal,2013,.00,255611.00,255611.00,221158.06,61187.55,159970.51,62005.74,62005.74,12780.55,97964.77,.00,97964.77,6763.90,6763.90,91200.87,.00
79938,PMSP,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,11,Secretaria do Governo Municipal,14,Secretaria Executiva de Comunicação,24,Comunicações,122,Administração Geral,2610,Suporte administrativo,2125,Administração da Secretaria  Executiva de  Comunicação,33903900,Outros Serviços de Terceiros -Pessoa Jurídica,3,Despesas Correntes,3,OUTRAS DESPESAS CORRENTES,90,Aplicações Diretas,39,Outros Serviços de Terceiros - Pessoa Jurídica,00,Tesouro Municipal,2013,.00,16000000.00,10070117.98,11110224.08,1040106.10,10070117.98,8638496.93,8605505.33,.00,1464612.65,32991.60,1431621.05,834190.27,867181.87,597430.78,.00
79939,PMSP,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,11,Secretaria do Governo Municipal,14,Secretaria Executiva de Comunicação,24,Comunicações,122,Administração Geral,2610,Suporte administrativo,2125,Administração da Secretaria  Executiva de  Comunicação,44905200,Equipamentos e Material Permanente,4,Despesas de Capital,4,INVESTIMENTOS,90,Aplicações Diretas,52,Equipamentos e Material Permanente,00,Tesouro Municipal,2013,.00,20000.00,129488.94,58765.44,25222.50,33542.94,33542.94,33542.94,.00,.00,.00,.00,.00,.00,.00,.00
79955,PMSP,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,11,Secretaria do Governo Municipal,20,Gabinete do Secretário,04,Administração,122,Administração Geral,2610,Suporte administrativo,2148,Administração do Gabinete da Secretaria do Governo Municipal,33903500,Serviços de Consultoria,3,Despesas Correntes,3,OUTRAS DESPESAS CORRENTES,90,Aplicações Diretas,35,Serviços de Consultoria,00,Tesouro Municipal,2013,.00,50000.00,50000.00,.00,.00,.00,.00,.00,11837.00,.00,.00,.00,.00,.00,.00,.00
79913,PMSP,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,11,Secretaria do Governo Municipal,10,Gabinete do Prefeito,04,Administração,122,Administração Geral,2610,Suporte administrativo,2100,Administração do Gabinete do Prefeito,33903000,Material de Consumo,3,Despesas Correntes,3,OUTRAS DESPESAS CORRENTES,90,Aplicações Diretas,30,Material de Consumo,00,Tesouro Municipal,2013,.00,50000.00,11500.00,.00,.00,.00,.00,.00,6775.00,.00,.00,.00,.00,.00,.00,.00
79917,PMSP,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,11,Secretaria do Governo Municipal,10,Gabinete do Prefeito,04,Administração,122,Administração Geral,2610,Suporte administrativo,2100,Administração do Gabinete do Prefeito,44905200,Equipamentos e Material Permanente,4,Despesas de Capital,4,INVESTIMENTOS,90,Aplicações Diretas,52,Equipamentos e Material Permanente,00,Tesouro Municipal,2013,.00,5000.00,7952.00,7952.00,.00,7952.00,7952.00,.00,.00,7952.00,7952.00,.00,.00,7952.00,.00,.00
79931,PMSP,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,11,Secretaria do Governo Municipal,14,Secretaria Executiva de Comunicação,24,Comunicações,126,Tecnologia da Informação,1510,Agilidade nos processos internos,2756,Central de Atendimento Telefônico da Cidade de São Paulo,33903900,Outros Serviços de Terceiros -Pessoa Jurídica,3,Despesas Correntes,3,OUTRAS DESPESAS CORRENTES,90,Aplicações Diretas,39,Outros Serviços de Terceiros - Pessoa Jurídica,00,Tesouro Municipal,2013,.00,90000000.00,95839434.67,97991934.67,2152500.00,95839434.67,80454321.03,79036445.50,.00,16802989.17,1417875.53,15385113.64,13998273.73,15416149.26,1386839.91,.00
79943,PMSP,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,11,Secretaria do Governo Municipal,14,Secretaria Executiva de Comunicação,24,Comunicações,131,Comunicação Social,2920,Divulgação Oficial,2153,Publicação de Editais e Outras Publicações Legais,33903900,Outros Serviços de Terceiros -Pessoa Jurídica,3,Despesas Correntes,3,OUTRAS DESPESAS CORRENTES,90,Aplicações Diretas,39,Outros Serviços de Terceiros - Pessoa Jurídica,00,Tesouro Municipal,2013,.00,1600000.00,1468998.51,1340376.72,333947.00,1006429.72,735010.22,735010.22,80000.00,271419.50,.00,271419.50,51296.31,51296.31,220123.19,.00
79948,PMSP,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,11,Secretaria do Governo Municipal,20,Gabinete do Secretário,04,Administração,122,Administração Geral,2610,Suporte administrativo,1031,Reforma de Edificações - SGM,44905100,Obras e Instalações,4,Despesas de Capital,4,INVESTIMENTOS,90,Aplicações Diretas,51,Obras e Instalações,00,Tesouro Municipal,2013,.00,200000.00,56648.85,.00,.00,.00,.00,.00,43941.07,.00,.00,.00,.00,.00,.00,.00
79952,PMSP,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,11,Secretaria do Governo Municipal,20,Gabinete do Secretário,04,Administração,122,Administração Geral,2610,Suporte administrativo,2148,Administração do Gabinete da Secretaria do Governo Municipal,33901400,Diárias - Civil,3,Despesas Correntes,3,OUTRAS DESPESAS CORRENTES,90,Aplicações Diretas,14,Diárias - Civil,00,Tesouro Municipal,2013,.00,100000.00,100000.00,17454.02,566.50,16887.52,16887.52,16321.02,5000.00,566.50,566.50,.00,.00,566.50,.00,.00
79956,PMSP,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,11,Secretaria do Governo Municipal,20,Gabinete do Secretário,04,Administração,122,Administração Geral,2610,Suporte administrativo,2148,Administração do Gabinete da Secretaria do Governo Municipal,33903600,Outros Serviços de Terceiros - Pessoa Física,3,Despesas Correntes,3,OUTRAS DESPESAS CORRENTES,90,Aplicações Diretas,36,Outros Serviços de Terceiros - Pessoa Física,00,Tesouro Municipal,2013,.00,35000.00,25690.17,5621.04,.00,5621.04,5621.04,5621.04,1750.00,.00,.00,.00,.00,.00,.00,.00
79960,PMSP,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,11,Secretaria do Governo Municipal,20,Gabinete do Secretário,04,Administração,122,Administração Geral,2610,Suporte administrativo,2148,Administração do Gabinete da Secretaria do Governo Municipal,31901100,Vencimentos e Vantagens Fixas - Pessoal Civil,3,Despesas Correntes,1,PESSOAL E ENCARGOS SOCIAIS,90,Aplicações Diretas,11,Vencimentos e Vantagens Fixas - Pessoal Civil,00,Tesouro Municipal,2013,.00,30943578.00,30985578.00,30982711.33,.00,30982711.33,30982711.33,30982711.33,.00,.00,.00,.00,.00,.00,.00,.00
79914,PMSP,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,11,Secretaria do Governo Municipal,10,Gabinete do Prefeito,04,Administração,122,Administração Geral,2610,Suporte administrativo,2100,Administração do Gabinete do Prefeito,33903300,Passagens e Despesas com Locomoção,3,Despesas Correntes,3,OUTRAS DESPESAS CORRENTES,90,Aplicações Diretas,33,Passagens e Despesas com Locomoção,00,Tesouro Municipal,2013,.00,85500.00,287941.07,315691.07,35088.72,280602.35,102110.41,102110.41,.00,178491.94,.00,178491.94,7166.89,7166.89,171325.05,.00
79919,PMSP,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,11,Secretaria do Governo Municipal,10,Gabinete do Prefeito,04,Administração,122,Administração Geral,2610,Suporte administrativo,2104,Administração do Gabinete do Vice-Prefeito,33901400,Diárias - Civil,3,Despesas Correntes,3,OUTRAS DESPESAS CORRENTES,90,Aplicações Diretas,14,Diárias - Civil,00,Tesouro Municipal,2013,.00,10000.00,105400.00,67227.81,254.92,66972.89,66972.89,66972.89,.00,.00,.00,.00,.00,.00,.00,.00
79920,PMSP,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,11,Secretaria do Governo Municipal,10,Gabinete do Prefeito,04,Administração,122,Administração Geral,2610,Suporte administrativo,2104,Administração do Gabinete do Vice-Prefeito,33903600,Outros Serviços de Terceiros - Pessoa Física,3,Despesas Correntes,3,OUTRAS DESPESAS CORRENTES,90,Aplicações Diretas,36,Outros Serviços de Terceiros - Pessoa Física,00,Tesouro Municipal,2013,.00,8000.00,8000.00,474.97,.00,474.97,474.97,474.97,400.00,.00,.00,.00,.00,.00,.00,.00
